SR,SR Name_Eng,District_Pcode,District_Name_Eng,District_Name_MMR
MMR015,Shan (North),MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),ဝိန်းကောင်-ဝအထူးဒေသ (၂)
MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂)
